"UF","DOC_KEY","QTD_POLOS_MESMO_DOC","CERTEZA_VINCULO","INSTITUICAO","NOME_POLO_OU_CAMPUS","MUNICIPIO_POLO","NOME_ARQUIVO_LOCAL","CAMINHO_ARQUIVO_LOCAL","PPC_COMPARTILHADO"
"AL","748C98644B24F52979DCFFCB22FEEA679C8916C849FDD056CAE00ED9AEB39CE6","12","ALTA","UFAL","CAMPUS A. C. SIMÕES","Maceió","AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","SIM"
"AL","748C98644B24F52979DCFFCB22FEEA679C8916C849FDD056CAE00ED9AEB39CE6","12","ALTA","UFAL","CAMPUS A. C. SIMÕES","Maceió","AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","SIM"
"AL","748C98644B24F52979DCFFCB22FEEA679C8916C849FDD056CAE00ED9AEB39CE6","12","ALTA","UFAL","CAMPUS ARAPIRACA - Sede","Arapiraca","AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","SIM"
"AL","748C98644B24F52979DCFFCB22FEEA679C8916C849FDD056CAE00ED9AEB39CE6","12","ALTA","UFAL","Campus do Sertão - UNIDADE EDUCACIONAL DE SANTANA DO IPANEMA","Santana do Ipanema","AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","SIM"
"AL","748C98644B24F52979DCFFCB22FEEA679C8916C849FDD056CAE00ED9AEB39CE6","12","ALTA","UFAL","Polo EAD São José da Laje","Maceió","AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","SIM"
"AL","748C98644B24F52979DCFFCB22FEEA679C8916C849FDD056CAE00ED9AEB39CE6","12","ALTA","UFAL","POLO UAB - MARAGOGI","Maragogi","AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","SIM"
"AL","748C98644B24F52979DCFFCB22FEEA679C8916C849FDD056CAE00ED9AEB39CE6","12","ALTA","UNCISAL","CAMPUS  - MACEIÓ - TRAPICHE DA BARRA","Maceió","AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","SIM"
"AL","748C98644B24F52979DCFFCB22FEEA679C8916C849FDD056CAE00ED9AEB39CE6","12","ALTA","UNCISAL","POLO UAB ARAPIRACA","Arapiraca","AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","SIM"
"AL","748C98644B24F52979DCFFCB22FEEA679C8916C849FDD056CAE00ED9AEB39CE6","12","ALTA","UNCISAL","POLO UAB MATRIZ DE CAMARAGIBE","Matriz de Camaragibe","AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","SIM"
"AL","748C98644B24F52979DCFFCB22FEEA679C8916C849FDD056CAE00ED9AEB39CE6","12","ALTA","UNCISAL","POLO UAB PALMEIRA DOS ÍNDIOS","Palmeira dos Índios","AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf","SIM"
