UF,INSTITUICAO,MODALIDADE,NOME_POLO_OU_CAMPUS,MUNICIPIO_POLO,CURSO,URL_FONTE,URL_DOWNLOAD_PDF,URL_DOWNLOAD_PDF_LIMPA,STATUS_LINK,HASH_OU_ID_PDF_CANONICO,PPC_COMPARTILHADO,GRUPO_COMPARTILHAMENTO_ID,QTD_POLOS_NO_GRUPO,TIPO_VINCULO,ANO_PPC,LOCALIDADE_DOCUMENTO,NOME_ARQUIVO_LOCAL,CAMINHO_ARQUIVO_LOCAL,EVIDENCIA_MINIMA,OBS,ACAO_RECOMENDADA,DOC_ID
AL,UNCISAL,Educação a Distância,POLO UAB SANTANA DO IPANEMA,Santana do Ipanema,Licenciatura em Matematica,NAO_ENCONTRADO,NAO_ENCONTRADO,,NAO_ENCONTRADO,,NAO,,,POLO_ESPECIFICO,NAO_ENCONTRADO,,,,NAO_ENCONTRADO,"Nenhuma evidência oficial verificável foi localizada nesta rodada para o PPC de Licenciatura em Matemática presencial da UNEAL, Unidade Sede em Arapiraca.",NOVA_BUSCA,
AL,UFAL,Educação a Distância,POLO UAB - OLHO D'AGUA DAS FLORES,Olho d´Água das Flores,Licenciatura em Matematica,https://ufal.br/estudante/graduacao/projetos-pedagogicos/campus-maceio/matematica-licenciatura-ead/@@download/file/PPC%20da%20Matematica%20Licenciatura%20EaD.pdf,https://ufal.br/estudante/graduacao/projetos-pedagogicos/campus-maceio/matematica-licenciatura-ead/@@download/file/PPC%20da%20Matematica%20Licenciatura%20EaD.pdf,https://ufal.br/estudante/graduacao/projetos-pedagogicos/campus-maceio/matematica-licenciatura-ead/@@download/file/PPC%20da%20Matematica%20Licenciatura%20EaD.pdf,OK_PDF,BB6A86A423FA736974C1938D0763992308086FB411EFB68311492E738BAB9DF0,SIM,,5,INSTITUCIONAL_COMPARTILHADO,2012 [web:6],POLOS_5__Maceio_Arapiraca_Olho_d_Agua_das_Flores_Maragogi,AL__UFAL__EAD__POLOS_5__Maceio_Arapiraca_Olho_d_Agua_das_Flores_Maragogi__2012_web_6__DOC0001.pdf,c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UFAL__EAD__POLOS_5__Maceio_Arapiraca_Olho_d_Agua_das_Flores_Maragogi__2012_web_6__DOC0001.pdf,O documento é o PPC de Matemática Licenciatura EaD alocado no repositório de Projetos Pedagógicos do Campus Maceió (que é o Campus A.C. Simões). O texto ressalta: 'Em 2012.1 o Curso ofertou nova turma no pólo Maceió e em novos pólos da EAD: Arapiraca... O Curso de Licenciatura em Matemática do Instituto de Matemática da...'. [web:6],"O Campus A.C. Simões em Maceió é a sede do Instituto de Matemática da UFAL. O PPC EaD localizado está vinculado administrativamente a esta sede, com menção literal à oferta no polo de Maceió. [web:6]",OK,DOC0001
AL,UNCISAL,Educação a Distância,POLO UAB-DELMIRO GOUVEIA,Delmiro Gouveia,Licenciatura em Matematica,https://ufal.br/estudante/graduacao/projetos-pedagogicos/campus-maceio/matematica-licenciatura-ead/@@download/file/PPC%20da%20Matematica%20Licenciatura%20EaD.pdf,https://ufal.br/estudante/graduacao/projetos-pedagogicos/campus-maceio/matematica-licenciatura-ead/@@download/file/PPC%20da%20Matematica%20Licenciatura%20EaD.pdf,https://ufal.br/estudante/graduacao/projetos-pedagogicos/campus-maceio/matematica-licenciatura-ead/@@download/file/PPC%20da%20Matematica%20Licenciatura%20EaD.pdf,OK_PDF,BB6A86A423FA736974C1938D0763992308086FB411EFB68311492E738BAB9DF0,SIM,,3,INSTITUCIONAL_COMPARTILHADO,2012,POLOS_5__Maceio_Arapiraca_Olho_d_Agua_das_Flores_Maragogi,AL__UFAL__EAD__POLOS_5__Maceio_Arapiraca_Olho_d_Agua_das_Flores_Maragogi__2012_web_6__DOC0001.pdf,c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UFAL__EAD__POLOS_5__Maceio_Arapiraca_Olho_d_Agua_das_Flores_Maragogi__2012_web_6__DOC0001.pdf,O documento é o PPC de Matemática Licenciatura EaD da UFAL. O texto ressalta: 'Em 2012.1 o Curso ofertou nova turma no pólo Maceió e em novos pólos da EAD: Arapiraca...',Informação originária de metadados extraídos em blocos imediatamente anteriores para o documento da UFAL que confirma a abrangência do polo EaD em Arapiraca. O URL possui redirecionamento direto para a oferta unificada do Instituto de Matemática (IM-UFAL).,OK,DOC0001
AL,IFPE,Educação a Distância,PÓLO UAB - SANTANA DO IPANEMA,Santana do Ipanema,Licenciatura em Matematica,https://ufal.br/estudante/graduacao/projetos-pedagogicos/campus-maceio/ppc-matematica-licenciatura.pdf/@@download/file/ppc-matematica-licenciatura.pdf [web:66],https://ufal.br/estudante/graduacao/projetos-pedagogicos/campus-maceio/ppc-matematica-licenciatura.pdf/@@download/file/ppc-matematica-licenciatura.pdf [web:66],https://ufal.br/estudante/graduacao/projetos-pedagogicos/campus-maceio/ppc-matematica-licenciatura.pdf/@@download/file/ppc-matematica-licenciatura.pdf,OK_PDF,806D2A205B2C4E895E4D9C20244FC3387352F396789523146347A74444424C5D,NAO,,,POLO_ESPECIFICO,2006 [web:66],POLO__CAMPUS_A_C_SIMOES__Maceio,AL__UFAL__PRESENCIAL__POLO__CAMPUS_A_C_SIMOES__Maceio__2006_web_66__DOC0002.pdf,c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UFAL__PRESENCIAL__POLO__CAMPUS_A_C_SIMOES__Maceio__2006_web_66__DOC0002.pdf,"Identificação confirmada através da capa 'PROJETO PEDAGÓGICO DO CURSO DE MATEMÁTICA LICENCIATURA' e da assinatura de local/data 'MACEIÓ, UFAL – JANEIRO DE 2006'. [web:66]",Trata-se de uma duplicata do Item 5 desta mesma requisição. As mesmas evidências aplicam-se plenamente.,OK,DOC0002
AL,UFAL,Educação a Distância,Campus do Sertão - UNIDADE EDUCACIONAL DE SANTANA DO IPANEMA,Santana do Ipanema,Licenciatura em Matematica,https://www.uncisal.edu.br/uploads/2022/3/PPC_MATEMATICA_UNCISAL_MARCO.pdf [web:1],https://www.uncisal.edu.br/uploads/2022/3/PPC_MATEMATICA_UNCISAL_MARCO.pdf [web:1],https://www.uncisal.edu.br/uploads/2022/3/PPC_MATEMATICA_UNCISAL_MARCO.pdf,OK_PDF,748C98644B24F52979DCFFCB22FEEA679C8916C849FDD056CAE00ED9AEB39CE6,SIM,,12,POLO_ESPECIFICO,2021 [web:1],POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio,AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf,c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf,"O PDF oficial traz o título 'PROJETO PEDAGÓGICO DO CURSO DE LICENCIATURA EM MATEMÁTICA' e a capa indica 'Maceió, janeiro de 2021'; no corpo, consta que é 'na modalidade a distância' e que houve '40 (quarenta) vagas ... por cada Polo de apoio Presencial, num total de 5 polos'. [web:1]","Há evidência oficial suficiente do PPC do curso EaD da UNCISAL e de que ele não é específico de um único polo, mas as fontes coletadas nesta rodada não listaram literalmente, no trecho recuperado, os nomes dos 5 polos. [web:1]",OK,DOC0003
AL,UNCISAL,Educação a Distância,POLO UAB-CAJUEIRO,Cajueiro,Licenciatura em Matematica,https://ufal.br/estudante/graduacao/projetos-pedagogicos/campus-maceio/matematica-licenciatura-ead/@@download/file/PPC%20da%20Matematica%20Licenciatura%20EaD.pdf,https://ufal.br/estudante/graduacao/projetos-pedagogicos/campus-maceio/matematica-licenciatura-ead/@@download/file/PPC%20da%20Matematica%20Licenciatura%20EaD.pdf,https://ufal.br/estudante/graduacao/projetos-pedagogicos/campus-maceio/matematica-licenciatura-ead/@@download/file/PPC%20da%20Matematica%20Licenciatura%20EaD.pdf,OK_PDF,BB6A86A423FA736974C1938D0763992308086FB411EFB68311492E738BAB9DF0,SIM,,5,POLO_ESPECIFICO,2022 [page:1][web:25],POLOS_5__Maceio_Arapiraca_Olho_d_Agua_das_Flores_Maragogi,AL__UFAL__EAD__POLOS_5__Maceio_Arapiraca_Olho_d_Agua_das_Flores_Maragogi__2012_web_6__DOC0001.pdf,c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UFAL__EAD__POLOS_5__Maceio_Arapiraca_Olho_d_Agua_das_Flores_Maragogi__2012_web_6__DOC0001.pdf,"Na página oficial do curso aparece o item 'PPC 2022 (Novo)' com link para 'ppc-matematica-ead-novo-1.pdf/view', acompanhado da frase 'Esse é o projeto pedagógico atual e já está em andamento com a turma ingressante de 2023'. [page:1][web:25]","As fontes oficiais coletadas confirmam a existência do PPC 2022 do curso de Matemática Licenciatura EaD da UFAL, mas não trouxeram, nesta rodada, evidência literal vinculando esse mesmo PDF especificamente ao polo de Olho d'Água das Flores nem listando polos relacionados. [page:1][web:25]",OK,DOC0001
AL,UNEAL,Educação Presencial,Unidade SEDE,Arapiraca,Licenciatura em Matematica,https://www.uncisal.edu.br/uploads/2022/3/PPC_MATEMATICA_UNCISAL_MARCO.pdf [web:1],https://www.uncisal.edu.br/uploads/2022/3/PPC_MATEMATICA_UNCISAL_MARCO.pdf [web:1],https://www.uncisal.edu.br/uploads/2022/3/PPC_MATEMATICA_UNCISAL_MARCO.pdf,OK_PDF,748C98644B24F52979DCFFCB22FEEA679C8916C849FDD056CAE00ED9AEB39CE6,SIM,,12,POLO_ESPECIFICO,2021 [web:1],POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio,AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf,c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf,"O PDF oficial traz o título 'PROJETO PEDAGÓGICO DO CURSO DE LICENCIATURA EM MATEMÁTICA' e a capa indica 'Maceió, janeiro de 2021'; no corpo, consta que é 'na modalidade a distância' e que houve '40 (quarenta) vagas ... por cada Polo de apoio Presencial, num total de 5 polos'. [web:1]","Há evidência oficial suficiente do PPC do curso EaD da UNCISAL e de que ele é compartilhado por polos, porém os nomes dos polos não apareceram literalmente nos trechos recuperados nesta rodada. [web:1]",OK,DOC0003
AL,UNCISAL,Educação a Distância,POLO UAB-PENEDO,Penedo,Licenciatura em Matematica,https://portal.ifpe.edu.br/ead/cursos/superiores/licenciaturas/matematica/ [page:2],https://portal.ifpe.edu.br/wp-content/uploads/repositoriolegado/portal/documentos/Resoluo1392022AprovaadreferendumareformulaointPPCMatematicaEAD.pdf,https://portal.ifpe.edu.br/wp-content/uploads/repositoriolegado/portal/documentos/Resoluo1392022AprovaadreferendumareformulaointPPCMatematicaEAD.pdf,NAO_ENCONTRADO,,SIM,,,INSTITUCIONAL_COMPARTILHADO,2022 [web:13],POLOS_1__Santana_do_Ipanema,,,"A página oficial do curso informa 'POLOS EM QUE É OFERTADO: Águas Belas, Dias D’Ávila (BA), Limoeiro, Palmares, Santa Cruz do Capibaribe e Santana do Ipanema (AL)'; a resolução oficial registra que 'aprova ... a reformulação integral do Projeto Pedagógico do curso de Licenciatura em Matemática da Educação a Distância (EaD)' e está datada de 5 de agosto de 2022. [page:2][web:13]","Há evidência oficial de curso multicampi/multipolos e de PPC institucional reformulado em 2022; o PDF recuperado é da resolução com o anexo do PPC, suficiente para caracterizar compartilhamento entre os polos listados na página do curso. [page:2][web:13]",VALIDACAO_MANUAL,
AL,IFAL,Educação Presencial,Campus e Polo UAB - Maceió,Maceió,Licenciatura em Matematica,NAO_ENCONTRADO,NAO_ENCONTRADO,,NAO_ENCONTRADO,,NAO,,,POLO_ESPECIFICO,NAO_ENCONTRADO,,,,NAO_ENCONTRADO,"Nenhuma evidência oficial verificável foi localizada nesta rodada conectando, de forma literal, a UFAL/Campus do Sertão - Unidade Educacional de Santana do Ipanema a um PPC de Licenciatura em Matemática na modalidade EaD.",NOVA_BUSCA,
AL,UNCISAL,Educação a Distância,POLO UAB MATRIZ DE CAMARAGIBE,Matriz de Camaragibe,Licenciatura em Matematica,https://www.uncisal.edu.br/uploads/2022/3/PPC_MATEMATICA_UNCISAL_MARCO.pdf [web:1],https://www.uncisal.edu.br/uploads/2022/3/PPC_MATEMATICA_UNCISAL_MARCO.pdf [web:1],https://www.uncisal.edu.br/uploads/2022/3/PPC_MATEMATICA_UNCISAL_MARCO.pdf,OK_PDF,748C98644B24F52979DCFFCB22FEEA679C8916C849FDD056CAE00ED9AEB39CE6,SIM,,12,POLO_ESPECIFICO,2021 [web:1],POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio,AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf,c:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\AL\AL__UNCISAL__EAD__POLOS_12__Santana_do_Ipanema_Delmiro_Gouveia_Cajueiro_Penedo_Matriz_de_Camaragibe_Palmeira_dos_Indio__2021_web_1__DOC0003.pdf,"O PDF oficial traz o título 'PROJETO PEDAGÓGICO DO CURSO DE LICENCIATURA EM MATEMÁTICA' e a capa indica 'Maceió, janeiro de 2021'; no corpo, consta que é 'na modalidade a distância' e que houve '40 (quarenta) vagas ... por cada Polo de apoio Presencial, num total de 5 polos'. [web:1]","Há evidência oficial suficiente do PPC do curso EaD da UNCISAL e de que ele é compartilhado por polos, porém os nomes dos polos não apareceram literalmente nos trechos recuperados nesta rodada. [web:1]",OK,DOC0003
